date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:27	38497/38497	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:31%20GMT	http://www.geojeyouth.com/web/policy_1	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/policy_1.html	(from http://www.geojeyouth.com/web/)
00:11:28	18600/18600	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:31%20GMT	http://www.geojeyouth.com/web/policy_4	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/policy_4.html	(from http://www.geojeyouth.com/web/)
00:11:28	520714/520714	---M--	200	added ('OK')	application/javascript	etag:%227f20a-5a9ed64c27490%22	http://www.geojeyouth.com/web/js/jquery-ui.js	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/js/jquery-ui.js	(from http://www.geojeyouth.com/web/)
00:11:28	13997/13997	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:32%20GMT	http://www.geojeyouth.com/web/policy_5	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/policy_5.html	(from http://www.geojeyouth.com/web/)
00:11:28	14405/14405	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:32%20GMT	http://www.geojeyouth.com/web/policy_list?bbs=archive	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/policy_list8244.html	(from http://www.geojeyouth.com/web/)
00:11:28	20002/20002	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:32%20GMT	http://www.geojeyouth.com/web/job_1	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/job_1.html	(from http://www.geojeyouth.com/web/)
00:11:28	13266/13266	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:32%20GMT	http://www.geojeyouth.com/web/job_2	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/job_2.html	(from http://www.geojeyouth.com/web/)
00:11:29	33567/33567	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:33%20GMT	http://www.geojeyouth.com/web/job_3	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/job_3.html	(from http://www.geojeyouth.com/web/)
00:11:29	13715/13715	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:33%20GMT	http://www.geojeyouth.com/web/job_5	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/job_5.html	(from http://www.geojeyouth.com/web/)
00:11:29	14427/14427	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:33%20GMT	http://www.geojeyouth.com/web/jbbs_list?bbs=edu	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/jbbs_list2272.html	(from http://www.geojeyouth.com/web/)
00:11:29	14439/14439	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:33%20GMT	http://www.geojeyouth.com/web/jbbs_list?bbs=startup	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/jbbs_list7f7a.html	(from http://www.geojeyouth.com/web/)
